ppap_id,supplier_id,component,submission_level,submission_date,approval_date,cycle_days,status,trigger
PPAP-2024-0001,SUP011,Window lift actuator,Level 3,2024-01-05,2024-01-16,11,Interim Approved,Re-qualification
PPAP-2024-0002,SUP015,Wiper arm,Level 3,2024-01-06,2024-01-29,23,Approved,New launch
PPAP-2024-0003,SUP008,ECU housing,Level 3,2024-01-07,2024-02-10,34,Interim Approved,Engineering change
PPAP-2024-0004,SUP011,Fan shroud,Level 3,2024-01-07,2024-01-25,18,Interim Approved,Engineering change
PPAP-2024-0005,SUP003,Connector bracket,Level 1,2024-01-09,2024-01-24,15,Approved,Engineering change
PPAP-2024-0006,SUP011,Engine fan,Level 3,2024-01-13,2024-01-27,14,Approved,Re-qualification
PPAP-2024-0007,SUP013,Wiper arm,Level 3,2024-01-16,2024-01-29,13,Approved,New launch
PPAP-2024-0008,SUP015,Window lift actuator,Level 3,2024-01-16,2024-03-01,45,Approved,Engineering change
PPAP-2024-0009,SUP003,Fan shroud,Level 3,2024-01-18,2024-01-27,9,Interim Approved,Engineering change
PPAP-2024-0010,SUP010,Connector bracket,Level 1,2024-01-19,2024-03-06,47,Rejected,Re-qualification
PPAP-2024-0011,SUP014,ECU housing,Level 3,2024-01-20,2024-01-25,5,Approved,New launch
PPAP-2024-0012,SUP002,Engine fan,Level 3,2024-01-20,2024-02-03,14,Approved,Engineering change
PPAP-2024-0013,SUP001,Cooling pump,Level 1,2024-01-21,2024-02-11,21,Interim Approved,Tooling transfer
PPAP-2024-0014,SUP001,Control lever,Level 1,2024-01-21,2024-02-05,15,Interim Approved,Tooling transfer
PPAP-2024-0015,SUP001,ECU housing,Level 5,2024-01-22,2024-02-10,19,Approved,New launch
PPAP-2024-0016,SUP004,Fuel pump module,Level 1,2024-01-23,2024-02-28,36,Interim Approved,Tooling transfer
PPAP-2024-0017,SUP005,ECU housing,Level 1,2024-01-28,2024-02-26,29,Approved,Engineering change
PPAP-2024-0018,SUP015,Control lever,Level 1,2024-01-29,2024-02-15,17,Rejected,Re-qualification
PPAP-2024-0019,SUP015,Connector bracket,Level 3,2024-01-31,2024-03-07,36,Interim Approved,New launch
PPAP-2024-0020,SUP007,Fuel pump module,Level 5,2024-01-31,2024-03-03,32,Approved,New launch
PPAP-2024-0021,SUP013,Wiper arm,Level 3,2024-02-02,2024-02-11,9,Approved,Tooling transfer
PPAP-2024-0022,SUP012,ECU housing,Level 1,2024-02-02,2024-03-03,30,Approved,Re-qualification
PPAP-2024-0023,SUP007,Wiper arm,Level 1,2024-02-06,2024-03-06,29,Approved,Tooling transfer
PPAP-2024-0024,SUP009,Engine fan,Level 3,2024-02-08,2024-03-25,46,Interim Approved,New launch
PPAP-2024-0025,SUP004,Connector bracket,Level 3,2024-02-09,2024-03-14,34,Interim Approved,Engineering change
PPAP-2024-0026,SUP007,Connector bracket,Level 3,2024-02-09,2024-03-05,25,Approved,Engineering change
PPAP-2024-0027,SUP002,Window lift actuator,Level 3,2024-02-13,2024-03-14,30,Approved,Engineering change
PPAP-2024-0028,SUP012,ECU housing,Level 3,2024-02-15,2024-03-12,26,Approved,New launch
PPAP-2024-0029,SUP015,Fan shroud,Level 3,2024-02-17,2024-03-09,21,Approved,Engineering change
PPAP-2024-0030,SUP003,Fuel pump module,Level 3,2024-02-18,2024-02-27,9,Approved,Engineering change
PPAP-2024-0031,SUP009,ECU housing,Level 3,2024-02-21,2024-04-09,48,Interim Approved,Engineering change
PPAP-2024-0032,SUP008,ECU housing,Level 3,2024-02-23,2024-05-12,79,Approved,Re-qualification
PPAP-2024-0033,SUP002,Connector bracket,Level 3,2024-02-27,2024-03-27,29,Approved,New launch
PPAP-2024-0034,SUP008,Control lever,Level 1,2024-02-28,2024-04-20,52,Rejected,New launch
PPAP-2024-0035,SUP009,Cooling pump,Level 3,2024-02-29,2024-04-05,36,Approved,New launch
PPAP-2024-0036,SUP007,Control lever,Level 1,2024-03-04,2024-03-15,11,Approved,Engineering change
PPAP-2024-0037,SUP011,Window lift actuator,Level 5,2024-03-08,2024-03-13,5,Rejected,Re-qualification
PPAP-2024-0038,SUP007,Cooling pump,Level 3,2024-03-10,2024-04-05,26,Approved,Engineering change
PPAP-2024-0039,SUP006,Electric seat actuator,Level 1,2024-03-10,2024-04-24,45,Approved,New launch
PPAP-2024-0040,SUP007,Control lever,Level 3,2024-03-12,2024-04-15,34,Approved,Tooling transfer
PPAP-2024-0041,SUP010,Window lift actuator,Level 1,2024-03-13,2024-05-05,53,Approved,Re-qualification
PPAP-2024-0042,SUP001,Engine fan,Level 1,2024-03-15,2024-04-11,27,Approved,Tooling transfer
PPAP-2024-0043,SUP015,Electric seat actuator,Level 3,2024-03-15,2024-03-31,16,Approved,Engineering change
PPAP-2024-0044,SUP011,Engine fan,Level 3,2024-03-15,2024-03-28,13,Approved,Engineering change
PPAP-2024-0045,SUP009,ECU housing,Level 1,2024-03-18,2024-04-24,37,Interim Approved,Engineering change
PPAP-2024-0046,SUP012,Fan shroud,Level 3,2024-03-20,2024-04-21,32,Interim Approved,Re-qualification
PPAP-2024-0047,SUP011,Control lever,Level 3,2024-03-20,2024-04-06,17,Rejected,Re-qualification
PPAP-2024-0048,SUP006,Cooling pump,Level 5,2024-03-21,2024-04-15,25,Approved,Engineering change
PPAP-2024-0049,SUP006,Window lift actuator,Level 1,2024-03-23,2024-05-08,46,Approved,Tooling transfer
PPAP-2024-0050,SUP011,Engine fan,Level 1,2024-03-24,2024-04-11,18,Approved,New launch
PPAP-2024-0051,SUP003,Wiper arm,Level 3,2024-03-24,2024-04-06,13,Rejected,Engineering change
PPAP-2024-0052,SUP015,Wiper arm,Level 5,2024-03-24,2024-04-30,37,Interim Approved,Re-qualification
PPAP-2024-0053,SUP007,Control lever,Level 3,2024-03-26,2024-04-23,28,Interim Approved,Engineering change
PPAP-2024-0054,SUP015,ECU housing,Level 3,2024-03-26,2024-05-16,51,Rejected,Engineering change
PPAP-2024-0055,SUP015,Wiper arm,Level 1,2024-03-28,2024-04-26,29,Approved,Re-qualification
PPAP-2024-0056,SUP015,Engine fan,Level 5,2024-03-30,2024-05-11,42,Approved,Engineering change
PPAP-2024-0057,SUP002,Wiper arm,Level 3,2024-04-01,2024-05-12,41,Interim Approved,Tooling transfer
PPAP-2024-0058,SUP007,Control lever,Level 1,2024-04-02,2024-04-28,26,Approved,New launch
PPAP-2024-0059,SUP014,ECU housing,Level 5,2024-04-03,2024-04-11,8,Interim Approved,Engineering change
PPAP-2024-0060,SUP006,Control lever,Level 3,2024-04-03,2024-05-11,38,Approved,Re-qualification
PPAP-2024-0061,SUP007,Electric seat actuator,Level 1,2024-04-04,2024-04-28,24,Approved,Engineering change
PPAP-2024-0062,SUP011,Control lever,Level 5,2024-04-05,2024-04-30,25,Approved,New launch
PPAP-2024-0063,SUP012,Control lever,Level 3,2024-04-05,2024-04-28,23,Approved,New launch
PPAP-2024-0064,SUP009,Control lever,Level 3,2024-04-06,2024-05-02,26,Approved,Engineering change
PPAP-2024-0065,SUP007,Control lever,Level 3,2024-04-10,2024-05-17,37,Approved,New launch
PPAP-2024-0066,SUP002,Fan shroud,Level 5,2024-04-11,2024-04-24,13,Approved,Engineering change
PPAP-2024-0067,SUP006,Window lift actuator,Level 3,2024-04-11,2024-06-05,55,Approved,New launch
PPAP-2024-0068,SUP005,Engine fan,Level 3,2024-04-12,2024-05-15,33,Approved,Tooling transfer
PPAP-2024-0069,SUP015,Wiper arm,Level 5,2024-04-14,2024-05-07,23,Approved,New launch
PPAP-2024-0070,SUP009,Cooling pump,Level 3,2024-04-14,2024-05-30,46,Approved,Engineering change
PPAP-2024-0071,SUP010,ECU housing,Level 3,2024-04-14,2024-05-12,28,Approved,New launch
PPAP-2024-0072,SUP006,Control lever,Level 3,2024-04-17,2024-05-27,40,Interim Approved,Re-qualification
PPAP-2024-0073,SUP010,Engine fan,Level 3,2024-04-18,2024-06-01,44,Rejected,Re-qualification
PPAP-2024-0074,SUP011,Connector bracket,Level 3,2024-04-19,2024-05-03,14,Approved,New launch
PPAP-2024-0075,SUP007,ECU housing,Level 3,2024-04-21,2024-05-10,19,Approved,New launch
PPAP-2024-0076,SUP015,Connector bracket,Level 3,2024-04-22,2024-05-16,24,Approved,New launch
PPAP-2024-0077,SUP015,Engine fan,Level 1,2024-04-24,2024-05-25,31,Approved,New launch
PPAP-2024-0078,SUP010,Cooling pump,Level 3,2024-04-25,2024-06-12,48,Interim Approved,New launch
PPAP-2024-0079,SUP008,Cooling pump,Level 1,2024-04-26,2024-06-16,51,Approved,Re-qualification
PPAP-2024-0080,SUP003,Electric seat actuator,Level 3,2024-04-26,2024-05-08,12,Approved,Engineering change
PPAP-2024-0081,SUP009,Wiper arm,Level 3,2024-04-26,2024-05-23,27,Approved,New launch
PPAP-2024-0082,SUP014,Engine fan,Level 3,2024-04-28,2024-05-09,11,Approved,Tooling transfer
PPAP-2024-0083,SUP008,Electric seat actuator,Level 1,2024-05-03,2024-05-30,27,Interim Approved,New launch
PPAP-2024-0084,SUP005,Window lift actuator,Level 1,2024-05-03,2024-06-06,34,Approved,New launch
PPAP-2024-0085,SUP003,Window lift actuator,Level 3,2024-05-03,2024-05-08,5,Approved,Engineering change
PPAP-2024-0086,SUP011,Control lever,Level 3,2024-05-03,2024-05-20,17,Interim Approved,New launch
PPAP-2024-0087,SUP014,Wiper arm,Level 5,2024-05-03,2024-05-14,11,Approved,Engineering change
PPAP-2024-0088,SUP015,ECU housing,Level 3,2024-05-03,2024-06-24,52,Approved,New launch
PPAP-2024-0089,SUP009,Wiper arm,Level 3,2024-05-04,2024-06-19,46,Approved,New launch
PPAP-2024-0090,SUP013,Electric seat actuator,Level 1,2024-05-06,2024-05-19,13,Approved,New launch
PPAP-2024-0091,SUP010,Wiper arm,Level 3,2024-05-06,2024-07-01,56,Interim Approved,Re-qualification
PPAP-2024-0092,SUP003,Fan shroud,Level 3,2024-05-07,2024-05-20,13,Approved,New launch
PPAP-2024-0093,SUP012,Fan shroud,Level 1,2024-05-08,2024-05-23,15,Approved,Tooling transfer
PPAP-2024-0094,SUP009,Fan shroud,Level 5,2024-05-10,2024-06-19,40,Rejected,Engineering change
PPAP-2024-0095,SUP003,ECU housing,Level 3,2024-05-13,2024-05-25,12,Approved,New launch
PPAP-2024-0096,SUP006,ECU housing,Level 3,2024-05-13,2024-05-28,15,Approved,New launch
PPAP-2024-0097,SUP013,Control lever,Level 3,2024-05-14,2024-05-26,12,Approved,Engineering change
PPAP-2024-0098,SUP012,ECU housing,Level 3,2024-05-15,2024-06-21,37,Approved,Tooling transfer
PPAP-2024-0099,SUP003,Engine fan,Level 3,2024-05-15,2024-05-28,13,Approved,Engineering change
PPAP-2024-0100,SUP007,Engine fan,Level 3,2024-05-17,2024-06-04,18,Interim Approved,Engineering change
PPAP-2024-0101,SUP008,Window lift actuator,Level 1,2024-05-21,2024-06-17,27,Approved,Re-qualification
PPAP-2024-0102,SUP015,Connector bracket,Level 3,2024-05-22,2024-06-11,20,Approved,Re-qualification
PPAP-2024-0103,SUP010,Cooling pump,Level 3,2024-05-22,2024-06-26,35,Interim Approved,Re-qualification
PPAP-2024-0104,SUP015,Fan shroud,Level 5,2024-05-25,2024-06-15,21,Rejected,Re-qualification
PPAP-2024-0105,SUP008,Electric seat actuator,Level 1,2024-05-25,2024-07-26,62,Interim Approved,Tooling transfer
PPAP-2024-0106,SUP015,Cooling pump,Level 3,2024-05-25,2024-07-16,52,Rejected,New launch
PPAP-2024-0107,SUP006,ECU housing,Level 3,2024-05-26,2024-07-10,45,Approved,Tooling transfer
PPAP-2024-0108,SUP008,Engine fan,Level 3,2024-05-26,2024-07-20,55,Approved,New launch
PPAP-2024-0109,SUP005,Window lift actuator,Level 5,2024-05-27,2024-07-01,35,Approved,New launch
PPAP-2024-0110,SUP003,Electric seat actuator,Level 3,2024-05-30,2024-06-11,12,Interim Approved,New launch
PPAP-2024-0111,SUP015,Window lift actuator,Level 3,2024-06-02,2024-06-30,28,Approved,New launch
PPAP-2024-0112,SUP001,Engine fan,Level 3,2024-06-03,2024-06-25,22,Approved,New launch
PPAP-2024-0113,SUP004,Fuel pump module,Level 5,2024-06-03,2024-07-08,35,Interim Approved,Tooling transfer
PPAP-2024-0114,SUP002,Connector bracket,Level 1,2024-06-04,2024-06-22,18,Rejected,New launch
PPAP-2024-0115,SUP015,Cooling pump,Level 3,2024-06-04,2024-07-02,28,Approved,Engineering change
PPAP-2024-0116,SUP007,Fan shroud,Level 1,2024-06-07,2024-06-26,19,Approved,Re-qualification
PPAP-2024-0117,SUP006,Fan shroud,Level 3,2024-06-07,2024-07-02,25,Approved,Engineering change
PPAP-2024-0118,SUP002,Wiper arm,Level 5,2024-06-08,2024-07-05,27,Approved,New launch
PPAP-2024-0119,SUP004,Control lever,Level 3,2024-06-09,2024-07-01,22,Approved,New launch
PPAP-2024-0120,SUP010,Engine fan,Level 3,2024-06-09,2024-07-21,42,Approved,Re-qualification
PPAP-2024-0121,SUP009,Control lever,Level 3,2024-06-10,2024-07-07,27,Approved,New launch
PPAP-2024-0122,SUP005,Window lift actuator,Level 3,2024-06-15,2024-07-07,22,Rejected,Engineering change
PPAP-2024-0123,SUP005,Engine fan,Level 3,2024-06-16,2024-07-15,29,Approved,New launch
PPAP-2024-0124,SUP006,Window lift actuator,Level 5,2024-06-18,2024-07-28,40,Approved,New launch
PPAP-2024-0125,SUP006,Fan shroud,Level 1,2024-06-20,2024-07-12,22,Approved,New launch
PPAP-2024-0126,SUP003,Connector bracket,Level 3,2024-06-22,2024-07-08,16,Approved,Engineering change
PPAP-2024-0127,SUP008,Fan shroud,Level 3,2024-06-25,2024-08-11,47,Rejected,Engineering change
PPAP-2024-0128,SUP006,Engine fan,Level 3,2024-06-25,2024-08-04,40,Rejected,New launch
PPAP-2024-0129,SUP014,Cooling pump,Level 3,2024-06-27,2024-07-10,13,Approved,Re-qualification
PPAP-2024-0130,SUP013,Fuel pump module,Level 3,2024-06-27,2024-07-09,12,Approved,New launch
PPAP-2024-0131,SUP009,Connector bracket,Level 3,2024-06-27,2024-08-02,36,Approved,New launch
PPAP-2024-0132,SUP007,Window lift actuator,Level 5,2024-06-27,2024-07-18,21,Approved,New launch
PPAP-2024-0133,SUP007,Wiper arm,Level 3,2024-07-08,2024-08-07,30,Approved,Engineering change
PPAP-2024-0134,SUP010,Connector bracket,Level 3,2024-07-16,2024-08-03,18,Approved,Re-qualification
PPAP-2024-0135,SUP009,Electric seat actuator,Level 3,2024-07-19,2024-08-09,21,Rejected,Tooling transfer
PPAP-2024-0136,SUP007,Fan shroud,Level 5,2024-07-20,2024-08-07,18,Approved,Engineering change
PPAP-2024-0137,SUP012,Wiper arm,Level 3,2024-07-21,2024-08-15,25,Approved,Engineering change
PPAP-2024-0138,SUP011,Connector bracket,Level 3,2024-07-22,2024-08-12,21,Approved,Engineering change
PPAP-2024-0139,SUP007,Engine fan,Level 3,2024-07-24,2024-08-15,22,Approved,Engineering change
PPAP-2024-0140,SUP011,ECU housing,Level 1,2024-07-24,2024-08-12,19,Approved,Re-qualification
PPAP-2024-0141,SUP015,Control lever,Level 1,2024-07-25,2024-08-15,21,Interim Approved,New launch
PPAP-2024-0142,SUP012,Window lift actuator,Level 5,2024-07-26,2024-08-26,31,Approved,New launch
PPAP-2024-0143,SUP015,Fan shroud,Level 3,2024-07-27,2024-08-06,10,Rejected,New launch
PPAP-2024-0144,SUP005,ECU housing,Level 3,2024-07-27,2024-09-06,41,Rejected,Engineering change
PPAP-2024-0145,SUP009,Electric seat actuator,Level 3,2024-07-27,2024-08-29,33,Rejected,Engineering change
PPAP-2024-0146,SUP003,Connector bracket,Level 3,2024-07-29,2024-08-13,15,Approved,Engineering change
PPAP-2024-0147,SUP007,ECU housing,Level 5,2024-07-30,2024-08-15,16,Approved,Tooling transfer
PPAP-2024-0148,SUP005,Control lever,Level 3,2024-07-30,2024-09-03,35,Interim Approved,Re-qualification
PPAP-2024-0149,SUP002,Engine fan,Level 3,2024-07-31,2024-08-16,16,Approved,New launch
PPAP-2024-0150,SUP005,Fuel pump module,Level 3,2024-08-03,2024-09-07,35,Approved,Re-qualification
PPAP-2024-0151,SUP005,Control lever,Level 3,2024-08-04,2024-08-28,24,Approved,Re-qualification
PPAP-2024-0152,SUP003,Control lever,Level 1,2024-08-06,2024-08-18,12,Interim Approved,Engineering change
PPAP-2024-0153,SUP007,Connector bracket,Level 3,2024-08-07,2024-08-22,15,Approved,Engineering change
PPAP-2024-0154,SUP014,Connector bracket,Level 1,2024-08-08,2024-08-31,23,Approved,Re-qualification
PPAP-2024-0155,SUP004,Fuel pump module,Level 1,2024-08-08,2024-09-15,38,Interim Approved,Re-qualification
PPAP-2024-0156,SUP009,Window lift actuator,Level 3,2024-08-13,2024-09-18,36,Interim Approved,Engineering change
PPAP-2024-0157,SUP012,ECU housing,Level 3,2024-08-18,2024-09-07,20,Rejected,New launch
PPAP-2024-0158,SUP011,Wiper arm,Level 3,2024-08-19,2024-09-10,22,Approved,Engineering change
PPAP-2024-0159,SUP004,Electric seat actuator,Level 3,2024-08-20,2024-10-02,43,Approved,Re-qualification
PPAP-2024-0160,SUP014,Control lever,Level 3,2024-08-22,2024-09-13,22,Approved,Re-qualification
PPAP-2024-0161,SUP003,Engine fan,Level 5,2024-08-23,2024-09-03,11,Approved,New launch
PPAP-2024-0162,SUP005,Window lift actuator,Level 1,2024-08-23,2024-09-26,34,Approved,New launch
PPAP-2024-0163,SUP002,Engine fan,Level 3,2024-08-24,2024-09-19,26,Approved,Re-qualification
PPAP-2024-0164,SUP006,Window lift actuator,Level 3,2024-08-28,2024-09-29,32,Rejected,Engineering change
PPAP-2024-0165,SUP007,Control lever,Level 3,2024-08-29,2024-09-30,32,Approved,New launch
PPAP-2024-0166,SUP005,Wiper arm,Level 3,2024-08-31,2024-09-30,30,Interim Approved,Engineering change
PPAP-2024-0167,SUP007,Fuel pump module,Level 1,2024-08-31,2024-09-18,18,Interim Approved,New launch
PPAP-2024-0168,SUP006,Window lift actuator,Level 3,2024-09-01,2024-10-17,46,Rejected,Tooling transfer
PPAP-2024-0169,SUP013,Window lift actuator,Level 3,2024-09-03,2024-09-12,9,Approved,Re-qualification
PPAP-2024-0170,SUP015,Connector bracket,Level 3,2024-09-04,2024-09-10,6,Approved,Engineering change
PPAP-2024-0171,SUP015,Fuel pump module,Level 3,2024-09-05,2024-09-21,16,Interim Approved,Re-qualification
PPAP-2024-0172,SUP006,Wiper arm,Level 3,2024-09-05,2024-10-05,30,Approved,Engineering change
PPAP-2024-0173,SUP010,Fuel pump module,Level 3,2024-09-05,2024-09-29,24,Interim Approved,Engineering change
PPAP-2024-0174,SUP003,Cooling pump,Level 3,2024-09-07,2024-09-21,14,Approved,Engineering change
PPAP-2024-0175,SUP010,ECU housing,Level 3,2024-09-08,2024-10-21,43,Approved,Re-qualification
PPAP-2024-0176,SUP012,ECU housing,Level 3,2024-09-09,2024-10-09,30,Interim Approved,Engineering change
PPAP-2024-0177,SUP013,Connector bracket,Level 3,2024-09-10,2024-09-25,15,Approved,New launch
PPAP-2024-0178,SUP005,ECU housing,Level 3,2024-09-11,2024-10-26,45,Approved,Engineering change
PPAP-2024-0179,SUP008,Window lift actuator,Level 3,2024-09-11,2024-10-21,40,Rejected,Engineering change
PPAP-2024-0180,SUP004,Electric seat actuator,Level 3,2024-09-12,2024-11-15,64,Approved,New launch
PPAP-2024-0181,SUP013,Control lever,Level 1,2024-09-13,2024-09-22,9,Approved,New launch
PPAP-2024-0182,SUP007,ECU housing,Level 3,2024-09-15,2024-09-28,13,Interim Approved,Re-qualification
PPAP-2024-0183,SUP011,Fan shroud,Level 3,2024-09-16,2024-10-07,21,Approved,New launch
PPAP-2024-0184,SUP008,Connector bracket,Level 1,2024-09-18,2024-11-06,49,Rejected,Tooling transfer
PPAP-2024-0185,SUP005,Engine fan,Level 3,2024-09-18,2024-10-19,31,Approved,New launch
PPAP-2024-0186,SUP010,Cooling pump,Level 5,2024-09-20,2024-11-01,42,Approved,Engineering change
PPAP-2024-0187,SUP009,Cooling pump,Level 3,2024-09-21,2024-10-23,32,Approved,Tooling transfer
PPAP-2024-0188,SUP013,Connector bracket,Level 3,2024-09-22,2024-10-03,11,Approved,Engineering change
PPAP-2024-0189,SUP006,Engine fan,Level 3,2024-09-22,2024-10-30,38,Interim Approved,New launch
PPAP-2024-0190,SUP002,Cooling pump,Level 3,2024-09-23,2024-11-06,44,Approved,Engineering change
PPAP-2024-0191,SUP013,Fuel pump module,Level 3,2024-09-25,2024-10-05,10,Interim Approved,Re-qualification
PPAP-2024-0192,SUP015,Connector bracket,Level 1,2024-09-26,2024-11-04,39,Interim Approved,Tooling transfer
PPAP-2024-0193,SUP013,Cooling pump,Level 1,2024-09-29,2024-10-12,13,Approved,New launch
PPAP-2024-0194,SUP015,ECU housing,Level 3,2024-09-30,2024-11-05,36,Approved,Re-qualification
PPAP-2024-0195,SUP004,Engine fan,Level 3,2024-09-30,2024-11-15,46,Approved,New launch
PPAP-2024-0196,SUP014,Control lever,Level 3,2024-09-30,2024-10-25,25,Approved,New launch
PPAP-2024-0197,SUP007,Wiper arm,Level 5,2024-10-02,2024-10-08,6,Approved,Tooling transfer
PPAP-2024-0198,SUP012,Control lever,Level 5,2024-10-03,2024-10-19,16,Approved,Engineering change
PPAP-2024-0199,SUP002,Window lift actuator,Level 3,2024-10-05,2024-11-08,34,Approved,Tooling transfer
PPAP-2024-0200,SUP011,ECU housing,Level 3,2024-10-05,2024-10-28,23,Approved,New launch
PPAP-2024-0201,SUP014,Wiper arm,Level 3,2024-10-06,2024-10-18,12,Approved,Re-qualification
PPAP-2024-0202,SUP001,Electric seat actuator,Level 3,2024-10-07,2024-10-27,20,Approved,New launch
PPAP-2024-0203,SUP010,ECU housing,Level 1,2024-10-08,2024-11-12,35,Interim Approved,Engineering change
PPAP-2024-0204,SUP015,Fan shroud,Level 1,2024-10-09,2024-10-24,15,Approved,New launch
PPAP-2024-0205,SUP003,Electric seat actuator,Level 3,2024-10-09,2024-10-25,16,Approved,Tooling transfer
PPAP-2024-0206,SUP004,Electric seat actuator,Level 3,2024-10-09,2024-11-22,44,Rejected,Engineering change
